method_id,seed,step,mean_reward,max_reward,hard_filter_fraction,mean_kl,mean_entropy,archive_size
M1_joint_rl,1702,8,0.12288826704025269,0.2880488336086273,0.703125,0.07111973315477371,1.088546872138977,317
M1_joint_rl,1702,9,0.11447717994451523,0.268155574798584,0.671875,0.08154819905757904,1.1092325448989868,360
M1_joint_rl,1702,10,0.12497224658727646,0.28024059534072876,0.671875,0.08938390016555786,1.0666981935501099,402
M1_joint_rl,1702,11,0.13590559363365173,0.2746813893318176,0.765625,0.10975944250822067,1.0629267692565918,451
M1_joint_rl,1702,12,0.1392688900232315,0.2940308451652527,0.75,0.11381950974464417,1.0675979852676392,499
M1_joint_rl,1702,13,0.15084676444530487,0.2926744520664215,0.828125,0.12442511320114136,1.0812745094299316,551
M1_joint_rl,1702,14,0.14593759179115295,0.27396950125694275,0.78125,0.13296249508857727,1.0418967008590698,600
M1_joint_rl,1702,15,0.14055438339710236,0.26890188455581665,0.796875,0.1226610541343689,1.0161628723144531,648
M1_joint_rl,1702,16,0.1419159173965454,0.27416786551475525,0.75,0.11545800417661667,1.0290122032165527,694
M1_joint_rl,1702,17,0.14925293624401093,0.273645281791687,0.78125,0.11527041345834732,1.0353288650512695,743
M1_joint_rl,1702,18,0.12949353456497192,0.2687051594257355,0.75,0.11560452729463577,1.0118635892868042,790
M1_joint_rl,1702,19,0.1361301690340042,0.2682867646217346,0.8125,0.1067872941493988,0.9615208506584167,840
M1_joint_rl,1702,20,0.13874945044517517,0.29343926906585693,0.828125,0.10707618296146393,0.9523608088493347,892
M1_joint_rl,1702,21,0.150103360414505,0.2920071482658386,0.859375,0.1042834222316742,0.985363781452179,947
M1_joint_rl,1702,22,0.13492514193058014,0.269680380821228,0.84375,0.09769535064697266,0.9434361457824707,999
M1_joint_rl,1702,23,0.14878849685192108,0.28310728073120117,0.859375,0.10327401757240295,0.9331474304199219,1054
M1_joint_rl,1702,24,0.1423259824514389,0.28734925389289856,0.8125,0.10890540480613708,0.9448816180229187,1105
M1_joint_rl,1702,25,0.1561669558286667,0.27932634949684143,0.859375,0.10366732627153397,0.9527930021286011,1160
M1_joint_rl,1702,26,0.15197135508060455,0.26911014318466187,0.859375,0.11768708378076553,0.9694735407829285,1214
M1_joint_rl,1702,27,0.14799261093139648,0.25765055418014526,0.90625,0.12014483660459518,0.9788901209831238,1271
M1_joint_rl,1702,28,0.15664519369602203,0.2902270555496216,0.890625,0.12896408140659332,0.9681894183158875,1328
M1_joint_rl,1702,29,0.15040290355682373,0.26849743723869324,0.859375,0.13443824648857117,0.9653376340866089,1383
M1_joint_rl,1702,30,0.17739444971084595,0.27939581871032715,0.921875,0.1531694531440735,0.9462278485298157,1441
M1_joint_rl,1702,31,0.16135960817337036,0.2938925623893738,0.921875,0.16285976767539978,0.93226158618927,1495
M1_joint_rl,1702,32,0.1654202789068222,0.29444530606269836,0.875,0.17530208826065063,0.9345359802246094,1546
M1_joint_rl,1702,33,0.16346506774425507,0.26649796962738037,0.921875,0.17601628601551056,0.9421602487564087,1602
M1_joint_rl,1702,34,0.15893244743347168,0.2741187512874603,0.84375,0.19761094450950623,0.9422825574874878,1654
M1_joint_rl,1702,35,0.16195286810398102,0.2801647186279297,0.9375,0.19568079710006714,0.9525038003921509,1710
M1_joint_rl,1702,36,0.1626802384853363,0.27302685379981995,0.875,0.19197405874729156,0.9677526950836182,1762
M1_joint_rl,1702,37,0.15991859138011932,0.2798987329006195,0.84375,0.20212385058403015,0.9486182928085327,1814
M1_joint_rl,1702,38,0.1505311131477356,0.2758757472038269,0.84375,0.19256700575351715,0.9556195735931396,1865
M1_joint_rl,1702,39,0.15998004376888275,0.28728604316711426,0.890625,0.19171801209449768,0.9349958896636963,1916
M1_joint_rl,1702,40,0.15180183947086334,0.2919307053089142,0.84375,0.19774746894836426,0.9554137587547302,1969
M1_joint_rl,1702,41,0.14569273591041565,0.25907236337661743,0.875,0.20172366499900818,0.949652910232544,2017
M1_joint_rl,1702,42,0.16319751739501953,0.2880491018295288,0.875,0.1961255967617035,0.9022039771080017,2070
M1_joint_rl,1702,43,0.17024046182632446,0.2843560576438904,0.90625,0.1912718117237091,0.9568502306938171,2125
M1_joint_rl,1702,44,0.17326995730400085,0.2777214050292969,0.953125,0.18911488354206085,0.9239147901535034,2179
M1_joint_rl,1702,45,0.17574752867221832,0.26950550079345703,0.984375,0.1986663043498993,0.9115654230117798,2237
M1_joint_rl,1702,46,0.15842221677303314,0.2789531350135803,0.890625,0.1905992478132248,0.9276094436645508,2291
M1_joint_rl,1702,47,0.16305644810199738,0.26850226521492004,0.90625,0.18726246058940887,0.8767908811569214,2346
M1_joint_rl,1702,48,0.15578103065490723,0.2654725909233093,0.90625,0.18362462520599365,0.9172125458717346,2399
M1_joint_rl,1702,49,0.1808442324399948,0.29072538018226624,0.984375,0.18618707358837128,0.8835811614990234,2455
M1_joint_rl,1702,50,0.15474700927734375,0.2722092270851135,0.890625,0.1771240383386612,0.90711909532547,2508
M1_joint_rl,1702,51,0.1489904373884201,0.26917433738708496,0.859375,0.17971399426460266,0.8862552046775818,2557
M1_joint_rl,1702,52,0.17261375486850739,0.2877884805202484,0.90625,0.18738412857055664,0.8881146907806396,2612
M1_joint_rl,1702,53,0.1672361195087433,0.28806546330451965,0.921875,0.18319351971149445,0.8924795985221863,2665
M1_joint_rl,1702,54,0.16952359676361084,0.28776901960372925,0.90625,0.19862191379070282,0.8929458856582642,2720
M1_joint_rl,1702,55,0.16490209102630615,0.28470808267593384,0.90625,0.19170799851417542,0.8780914545059204,2775
M1_joint_rl,1702,56,0.18083837628364563,0.27191999554634094,0.9375,0.19648583233356476,0.8854557871818542,2833
M1_joint_rl,1702,57,0.18128788471221924,0.28239625692367554,0.953125,0.2115410417318344,0.843546450138092,2887
M1_joint_rl,1702,58,0.17721380293369293,0.28569504618644714,0.921875,0.19488497078418732,0.8659706115722656,2941
M1_joint_rl,1702,59,0.1852758228778839,0.2844880521297455,0.953125,0.18986980617046356,0.868132472038269,2999
M1_joint_rl,1702,60,0.1668848693370819,0.2688679099082947,0.84375,0.19826161861419678,0.8426709175109863,3050
A1_uv_only_rl,1702,1,0.09541432559490204,0.3334662616252899,0.53125,0.0,1.1689478158950806,34
A1_uv_only_rl,1702,2,0.07009619474411011,0.3803912103176117,0.421875,0.0017604816239327192,1.1281609535217285,61
A1_uv_only_rl,1702,3,0.10731502622365952,0.4076852798461914,0.59375,0.00493014557287097,1.1235038042068481,99
A1_uv_only_rl,1702,4,0.1289863884449005,0.4645310640335083,0.625,0.010149049572646618,1.1162900924682617,139
A1_uv_only_rl,1702,5,0.15348316729068756,0.47960782051086426,0.703125,0.022866128012537956,1.126646876335144,184
A1_uv_only_rl,1702,6,0.16621826589107513,0.47969210147857666,0.734375,0.03305155783891678,1.0888216495513916,231
A1_uv_only_rl,1702,7,0.156711146235466,0.4678783118724823,0.71875,0.046499624848365784,1.1351736783981323,277
A1_uv_only_rl,1702,8,0.15793868899345398,0.41451603174209595,0.65625,0.06435909122228622,1.1009644269943237,319
A1_uv_only_rl,1702,9,0.22807252407073975,0.49764856696128845,0.796875,0.08555936813354492,1.0858591794967651,370
A1_uv_only_rl,1702,10,0.1910141408443451,0.48043373227119446,0.734375,0.10435057431459427,1.0703036785125732,416
A1_uv_only_rl,1702,11,0.1991318166255951,0.4898195266723633,0.6875,0.1206088662147522,1.073241949081421,459
A1_uv_only_rl,1702,12,0.20568956434726715,0.48822006583213806,0.75,0.12989839911460876,1.046928882598877,507
A1_uv_only_rl,1702,13,0.203135684132576,0.4787251055240631,0.796875,0.13731321692466736,1.03742253780365,556
A1_uv_only_rl,1702,14,0.18469414114952087,0.48507872223854065,0.671875,0.1478821486234665,1.0281261205673218,596
A1_uv_only_rl,1702,15,0.2053648829460144,0.4807678759098053,0.78125,0.1319035291671753,1.0158822536468506,645
A1_uv_only_rl,1702,16,0.23085904121398926,0.4900718331336975,0.859375,0.12756022810935974,0.9933632612228394,699
A1_uv_only_rl,1702,17,0.1899353265762329,0.4891596734523773,0.78125,0.12540507316589355,0.98836350440979,746
A1_uv_only_rl,1702,18,0.2120371311903,0.49503234028816223,0.796875,0.11787733435630798,0.9834545254707336,794
A1_uv_only_rl,1702,19,0.21377365291118622,0.49650371074676514,0.828125,0.11593614518642426,0.9870913624763489,845
A1_uv_only_rl,1702,20,0.23017030954360962,0.4694502353668213,0.90625,0.113028384745121,0.9643200635910034,903
A1_uv_only_rl,1702,21,0.2077987939119339,0.4715215563774109,0.90625,0.11541330069303513,0.949157178401947,957
A1_uv_only_rl,1702,22,0.23450900614261627,0.4905579388141632,0.90625,0.11756891012191772,0.9350904226303101,1011
A1_uv_only_rl,1702,23,0.23755809664726257,0.46855372190475464,0.890625,0.12334954738616943,0.9297767281532288,1064
A1_uv_only_rl,1702,24,0.20030570030212402,0.5024802684783936,0.84375,0.1223934069275856,0.9374328851699829,1117
A1_uv_only_rl,1702,25,0.2553587555885315,0.4934847354888916,0.859375,0.1278187483549118,0.9122311472892761,1171
A1_uv_only_rl,1702,26,0.24397718906402588,0.49505117535591125,0.9375,0.13986793160438538,0.9242607355117798,1223
A1_uv_only_rl,1702,27,0.25439971685409546,0.46319347620010376,0.90625,0.13541877269744873,0.9239716529846191,1280
A1_uv_only_rl,1702,28,0.23974841833114624,0.4878888726234436,0.875,0.14915312826633453,0.9221779108047485,1330
A1_uv_only_rl,1702,29,0.24337390065193176,0.4875754714012146,0.859375,0.15580597519874573,0.9185980558395386,1383
A1_uv_only_rl,1702,30,0.23450228571891785,0.5009545087814331,0.84375,0.16009509563446045,0.9211726784706116,1430
